,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,T1,T2,T3,T4,T5,T6,T7,T8,T9
,,,,,,,,,,,,,T1,1,"22,392,964 ",1 ,1,"22,392,964 ","34,163,731 ","13,366,516 ","18,450,596 ","7,694,403 ","30,078,240 ","21,812,653 ","10,647,247 ","26,975,495 "
,,,Stage I-VI,Stage VII-VIII,Stage IX-XII,total,,,,,,,,2,"15,727,073 ",2 ,2,"15,727,073 ","17,988,629 ","14,617,067 ","19,296,467 ","36,918,880 ","7,367,585 ","6,522,962 ","19,157,185 ","11,580,203 "
,,T1,172.15 ,109.77 ,104.55 ,386.47 ,,,,,,,,3,"12,504,926 ",3 ,3,"12,504,926 ","7,493,898 ","17,482,258 ","24,976,398 ","30,441,411 ",,"17,882,660 ","20,950,808 ","7,776,047 "
,,T2,47.89 ,37.46 ,35.32 ,120.66 ,,,,,,,,4,"15,060,972 ",4 ,4,"15,060,972 ","16,318,190 ","5,161,666 ","10,150,290 ","22,533,710 ",,"29,614,425 ","18,292,156 ","21,155,418 "
,,T3,68.17 ,25.99 ,46.74 ,140.90 ,,,,,,,,5,"20,642,607 ",5 ,5,"20,642,607 ","8,959,105 ","12,121,321 ","12,691,255 ",,,"32,140,466 ","23,380,406 ","29,523,086 "
,,T4,129.46 ,89.57 ,109.45 ,328.48 ,,,,,,,,6,"24,545,836 ",6 ,6,"24,545,836 ","8,210,656 ","22,855,330 ","28,155,361 ",,,,"15,629,023 ","9,733,534 "
,,T5,58.34 ,27.84 ,35.97 ,122.15 ,,,,,,,,7,"16,493,868 ",7 ,7,"16,493,868 ",,,"16,425,784 ",,,,"5,135,663 ","6,691,401 "
,,T6,40.88 ,21.93 ,17.76 ,80.57 ,,,,,,,,8,"21,321,735 ",8 ,8,"21,321,735 ",,,"20,702,535 ",,,,"11,593,499 ","26,392,591 "
,,T7,79.32 ,34.65 ,33.18 ,147.15 ,,,,,,,,9,"15,476,745 ",9 ,9,"15,476,745 ",,,"5,626,142 ",,,,"25,598,559 ","5,957,314 "
,,T8,97.41 ,37.55 ,43.68 ,178.64 ,,,,,,,,10,"11,065,052 ",10 ,10,"11,065,052 ",,,"2,549,478 ",,,,,"15,136,936 "
,,T9,134.18 ,73.25 ,72.06 ,279.49 ,,,,,,,,11,"13,526,952 ",11 ,11,"13,526,952 ",,,"16,620,199 ",,,,,"19,177,877 "
,,total,827.79 ,458.01 ,498.71 ,1784.51 ,,,,,,,,12,"8,674,163 ",12 ,12,"8,674,163 ",,,"19,225,952 ",,,,,"20,912,456 "
,,比,1.81,1,1.09,,,,,,,,,13,"10,665,745 ",13 ,13,"10,665,745 ",,,,,,,,"15,991,957 "
,,,,,,,,,,,,,,14,"19,602,696 ",14 ,14,"19,602,696 ",,,,,,,,
,,duration,2.34,1,1.66,,,,,,,,,15,"19,916,726 ",15 ,15,"19,916,726 ",,,,,,,,
,,,,,,,,,,,,,,16,"13,656,485 ",16 ,16,"13,656,485 ",,,,,,,,
,,,,,,,,,,,,,,17,"7,482,198 ",17 ,17,"7,482,198 ",,,,,,,,
,,wave,,,,,,,,,,,,18,"5,876,905 ",18 ,18,"5,876,905 ",,,,,,,,
,,,数,平均長,SD,使ったトータル,,使ってない,,,,,,19,"25,286,527 ",19 ,19,"25,286,527 ",,,,,,,,
,,T1,19,"15,785,272 ","5,545,330 ","299,920,175 ",,"86,545,155 ",,,,,T2,1,"34,163,731 ",1 ,,,,,,,,,,
,,T2,6,"15,522,368 ","9,266,517 ","93,134,209 ",,"27,524,855 ",,,,,,2,"17,988,629 ",2 ,,,,,,,,,,
,,T3,6,"14,267,360 ","5,362,552 ","85,604,158 ",,"55,291,994 ",,,,,,3,"7,493,898 ",3 ,,,,,,,,,,
,,T4,12,"16,239,205 ","7,137,348 ","194,870,457 ",,"133,613,527 ",,,,,,4,"16,318,190 ",4 ,,,,,,,,,,
,,T5,4,"24,397,101 ","10,906,202 ","97,588,403 ",,"24,565,113 ",,,,,,5,"8,959,105 ",5 ,,,,,,,,,,
,,T6,2,"18,722,913 ","11,355,328 ","37,445,825 ",,"43,121,059 ",,,,,,6,"8,210,656 ",6 ,,,,,,,,,,
,,T7,5,"21,594,633 ","9,127,028 ","107,973,166 ",,"39,177,916 ",,,,,T3,1,"13,366,516 ",1 ,,,,,,,,,,
,,T8,9,"16,709,394 ","6,218,668 ","150,384,545 ",,"28,258,703 ",,,,,,2,"14,617,067 ",2 ,,,,,,,,,,
,,T9,13,"16,692,640 ","7,748,951 ","217,004,315 ",,"62,486,471 ",,,,,,3,"17,482,258 ",3 ,,,,,,,,,,
,,,76,,,,,,,,,,,4,"5,161,666 ",4 ,,,,,,,,,,
,,,,,,,,,,,,,,5,"12,121,321 ",5 ,,,,,,,,,,
,,,,,,,,,,,,,,6,"22,855,330 ",6 ,,,,,,,,,,
,,,,,,,,,,,,,T4,1,"18,450,596 ",1 ,,,,,,,,,,
,,,,,,,,,,,,,,2,"19,296,467 ",2 ,,,,,,,,,,
,,,,,,,,,,,,,,3,"24,976,398 ",3 ,,,,,,,,,,
,,,Length,,,,,The Wave,,,,,,4,"10,150,290 ",4 ,,,,,,,,,,
,,,,Group,,,,The number,The average length,,,,,5,"12,691,255 ",5 ,,,,,,,,,,
,,,total,I-VI,VII-VIII,IX-XII,,,,,,,,6,"28,155,361 ",6 ,,,,,,,,,,
,,T1,386.5 ,172.1 ,109.8 ,104.6 ,,19,15.8 ,±,5.5 ,,,7,"16,425,784 ",7 ,,,,,,,,,,
,,T2,120.7 ,47.9 ,37.5 ,35.3 ,,6,15.5 ,±,9.3 ,,,8,"20,702,535 ",8 ,,,,,,,,,,
,,T3,140.9 ,68.2 ,26.0 ,46.7 ,,6,14.3 ,±,5.4 ,,,9,"5,626,142 ",9 ,,,,,,,,,,
,,T4,328.5 ,129.5 ,89.6 ,109.5 ,,12,16.2 ,±,7.1 ,,,10,"2,549,478 ",10 ,,,,,,,,,,
,,T5,122.2 ,58.3 ,27.8 ,36.0 ,,4,24.4 ,±,10.9 ,,,11,"16,620,199 ",11 ,,,,,,,,,,
,,T6,80.6 ,40.9 ,21.9 ,17.8 ,,2,18.7 ,±,11.4 ,,,12,"19,225,952 ",12 ,,,,,,,,,,
,,T7,147.2 ,79.3 ,34.6 ,33.2 ,,5,21.6 ,±,9.1 ,,T5,1,"7,694,403 ",1 ,,,,,,,,,,
,,T8,178.6 ,97.4 ,37.6 ,43.7 ,,9,16.7 ,±,6.2 ,,,2,"36,918,880 ",2 ,,,,,,,,,,
,,T9,279.5 ,134.2 ,73.2 ,72.1 ,,13,16.7 ,±,7.7 ,,,3,"30,441,411 ",3 ,,,,,,,,,,
,,,,,,,,,,,,,,4,"22,533,710 ",4 ,,,,,,,,,,
,,,,,,,,,,,,,T6,1,"30,078,240 ",1 ,,,,,,,,,,
,,,,,,,,,,,,,,2,"7,367,585 ",2 ,,,,,,,,,,
,,,,44.5 ,28.4 ,27.1 ,,,,,,,T7,1,"21,812,653 ",1 ,,,,,,,,,,
,,,,39.7 ,31.0 ,29.3 ,,,,,,,,2,"6,522,962 ",2 ,,,,,,,,,,
,,,,48.4 ,18.4 ,33.2 ,,,,,,,,3,"17,882,660 ",3 ,,,,,,,,,,
,,,,39.4 ,27.3 ,33.3 ,,,,,,,,4,"29,614,425 ",4 ,,,,,,,,,,
,,,,47.8 ,22.8 ,29.5 ,,,,,,,,5,"32,140,466 ",5 ,,,,,,,,,,
,,,,50.7 ,27.2 ,22.0 ,,,,,,,T8,1,"10,647,247 ",1 ,,,,,,,,,,
,,,,53.9 ,23.5 ,22.6 ,,,,,,,,2,"19,157,185 ",2 ,,,,,,,,,,
,,,,54.5 ,21.0 ,24.5 ,,,,,,,,3,"20,950,808 ",3 ,,,,,,,,,,
,,,,48.0 ,26.2 ,25.8 ,,,,,,,,4,"18,292,156 ",4 ,,,,,,,,,,
,,,,,,,,,,,,,,5,"23,380,406 ",5 ,,,,,,,,,,
,,,,,,,,,,,,,,6,"15,629,023 ",6 ,,,,,,,,,,
,,,,,,,,,,,,,,7,"5,135,663 ",7 ,,,,,,,,,,
,,,,,,,,,,,,,,8,"11,593,499 ",8 ,,,,,,,,,,
,,,,,,,,,,,,,,9,"25,598,559 ",9 ,,,,,,,,,,
,,,,,,,,,,,,,T9,1,"26,975,495 ",1 ,,,,,,,,,,
,,,,,,,,,,,,,,2,"11,580,203 ",2 ,,,,,,,,,,
,,,,,,,,,,,,,,3,"7,776,047 ",3 ,,,,,,,,,,
,,,,,,,,,,,,,,4,"21,155,418 ",4 ,,,,,,,,,,
,,,,,,,,,,,,,,5,"29,523,086 ",5 ,,,,,,,,,,
,,,,,,,,,,,,,,6,"9,733,534 ",6 ,,,,,,,,,,
,,,,,,,,,,,,,,7,"6,691,401 ",7 ,,,,,,,,,,
,,,,,,,,,,,,,,8,"26,392,591 ",8 ,,,,,,,,,,
,,,,,,,,,,,,,,9,"5,957,314 ",9 ,,,,,,,,,,
,,,,,,,,,,,,,,10,"15,136,936 ",10 ,,,,,,,,,,
,,,,,,,,,,,,,,11,"19,177,877 ",11 ,,,,,,,,,,
,,,,,,,,,,,,,,12,"20,912,456 ",12 ,,,,,,,,,,
,,,,,,,,,,,,,,13,"15,991,957 ",13 ,,,,,,,,,,
,,,,,,,,,,,,,,av,"16,893,753 ",,,,,,,,,,,
,,,,,,,,,,,,,,sd,"7,768,458 ",,,,,,,,,,,
